,control
BMI1,3.512408824047921
BMP1,1.9268344213655566
BMP2,1.166165252337285
BMP4,2.401928585475229
BMP5,0.8122755915833972
BMPER,0.9214637524155296
BMPR1A,2.1693128482924102
BMS1P20,1.2220075826358423
BNIP1,2.0457110047506317
BNIP3,5.248332967667398
BNIP3L,3.104361487376226
BOC,2.000889507892659
BOD1,2.893754384102427
BOK,2.2552070279493677
BOLA1,3.6687124460549354
BOLA3,5.028502540933946
BOP1,3.0598946298134493
BPGM,3.4601370551691484
BPHL,2.437303121488617
BRAT1,2.299630048002491
BRCAT107,0.7340458007177358
BRCC3,2.3825698710012686
BRD1,2.803545510315001
BRD2,4.1520619451854905
BRD3,2.8980248834456805
BRD4,3.5078543760489436
BRD7,2.0812670136104576
BRD9,2.681272712718636
BRE,4.444395012085118
BRE_AS1,0.41214741297011903
BRF1,2.640767596118271
BRF2,3.4147858172106154
BRI3,7.13985014350321
BRICD5,0.7318019034042733
BRIX1,2.397565048130632
BRMS1,2.7748471377053683
BROX,2.5677004657558693
BRWD1,1.470722705041298
BSDC1,1.3105076496637873
BSG,6.669726450354099
BST1,0.6727466594352024
BST2,4.033736087451452
BTBD1,6.124472066432986
BTBD10,2.1901100656679318
BTBD2,4.704869032596121
BTBD3,1.9031489753510769
BTD,2.0765919299224675
BTF3L4,2.970403662054879
BTG1,3.766983820813804
BTG2,6.268384648485964
BTG3,1.407792699241121
BTK,0.41399044416149183
BTN2A1,2.5665117300344056
BTN2A2,1.0795719935728
BTN3A1,2.2829053067155347
BTN3A2,2.4925397839594887
